example_id,sampling_stratum,customer_text_raw,customer_text_clean,brand_reply_text_raw,brand_reply_text_clean,true_intent,intent_ambiguous,true_escalate,true_escalation_rule,reply_acceptability_notes,labeller_notes
2872070,risk_signal,Somebody should give me their air miles points for my son so he can Home for Christmas from boot camp @Delta,Somebody should give me their air miles points for my son so he can Home for Christmas from boot camp,"@797447 Hello, Lisa. To buy, gift, transfer or donate miles pls follow this link:   https://t.co/JptY0anOe6 *AFM","Hello, Lisa. To buy, gift, transfer or donate miles pls follow this link: *AFM",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2615549,keyword_bucket:REFUND_COMPENSATION,"@Delta I upgraded to the silver credit card early this past year and 1 perk was a companion flight. I haven’t used that, how do I redeem?","I upgraded to the silver credit card early this past year and 1 perk was a companion flight. I haven’t used that, how do I redeem?",@77483 Hi Jenna! Thank you for being a silver medallion member with us. You can reach out to our companion department to use your certificate at 855 551 2113. *TMC,Hi Jenna! Thank you for being a silver medallion member with us. You can reach out to our companion department to use your certificate at 855 551 2113. *TMC,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1932380,keyword_bucket:REFUND_COMPENSATION,@Delta had flights on DL partners as part of cruise/tour so don't have receipts. Is boarding pass alone enough to get SkyMiles credit?,had flights on DL partners as part of cruise/tour so don't have receipts. Is boarding pass alone enough to get SkyMiles credit?,@575041 Thanks for reaching out to us Mickey. The boarding passes are needed in order to receive SkyMiles credit for a past date flight. *HKC,Thanks for reaching out to us Mickey. The boarding passes are needed in order to receive SkyMiles credit for a past date flight. *HKC,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2209618,keyword_bucket:REFUND_COMPENSATION,@Delta why no skymiles credit for DL9318 on 4 November? #Diamondmedallion 2015401876? Not eligible???,why no skymiles credit for DL9318 on 4 November? #Diamondmedallion 2015401876? Not eligible???,@645911 ...scheduled trip on Nov 10 &amp; 11.  *TJN 2/2,...scheduled trip on Nov 10 &amp; 11. *TJN 2/2,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
662980,keyword_bucket:ACCOUNT_LOYALTY,@Delta I need to recover my SkyMiles account - it locked while trying to reset the password. Please advise.,I need to recover my SkyMiles account - it locked while trying to reset the password. Please advise.,"@277964 Hello. Please DM your SkyMiles number, and I'll see what I can do to help. Thanks.  *TMS https://t.co/6iDGBJAc2m","Hello. Please DM your SkyMiles number, and I'll see what I can do to help. Thanks. *TMS",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
214187,keyword_bucket:ACCOUNT_LOYALTY,@Delta trying to use your useless miles to book a car and CS says they can help with the tech difficulties but they lied,trying to use your useless miles to book a car and CS says they can help with the tech difficulties but they lied,@159839 ...American Express Credit Card. *TRR 2/2,...American Express Credit Card. *TRR 2/2,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1506713,keyword_bucket:ACCOUNT_LOYALTY,"flew 25,000+ miles this year and finally elite status w/ @Delta  weeeeeeeeeeeeeeeeeeeeeee","flew 25,000+ miles this year and finally elite status w/ weeeeeeeeeeeeeeeeeeeeeee","@230129 That's so awesome Anne! Thank you so much, from all us, for your continued loyalty. 😄✈ *TTN","That's so awesome Anne! Thank you so much, from all us, for your continued loyalty. 😄✈ *TTN",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1341993,keyword_bucket:ACCOUNT_LOYALTY,@Delta I think I’m missing miles on my account for 2017. Please see pic below. https://t.co/xtUh15dhDr,I think I’m missing miles on my account for 2017. Please see pic below.,@432993 Therefore; any discrepancies found should be faxed and explained to our SkyMiles support desk at (404)773-1945. *AST,Therefore; any discrepancies found should be faxed and explained to our SkyMiles support desk at (404)773-1945. *AST,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1225340,keyword_bucket:ACCOUNT_LOYALTY,"@Delta What are MQMs, MQSs, and MQDs? I wish you simply told me how many miles I've upon signin. Thank you.","What are MQMs, MQSs, and MQDs? I wish you simply told me how many miles I've upon signin. Thank you.","@128896 MQMs = Medallion Qualification Miles, MQSs = Medallion Qualification Segments, and MQDs are Medallion Qualification Dollars.  *ABN","MQMs = Medallion Qualification Miles, MQSs = Medallion Qualification Segments, and MQDs are Medallion Qualification Dollars. *ABN",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
608666,keyword_bucket:ACCOUNT_LOYALTY,"Receive bonus miles when you donate through the @Delta SkyMiles Program by TODAY, November 22nd. https://t.co/S8udw187tC https://t.co/YyzgDPIFcg","Receive bonus miles when you donate through the SkyMiles Program by TODAY, November 22nd.",@264675 Wow! Let's jump on board. *TAS,Wow! Let's jump on board. *TAS,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2836426,keyword_bucket:ACCOUNT_LOYALTY,@Delta how do you put a medallion sky miles member at the back of the plane,how do you put a medallion sky miles member at the back of the plane,"@789489 Hi Justin! I am so sorry about your seat assignment. Unfortunately, if you do not assign a seat we have to give you what is available. *TMC","Hi Justin! I am so sorry about your seat assignment. Unfortunately, if you do not assign a seat we have to give you what is available. *TMC",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
522770,keyword_bucket:ACCOUNT_LOYALTY,@Delta your wait time to change a password for my sky miles account is nearing the point of ridiculous. #justsayin #stillwaiting,your wait time to change a password for my sky miles account is nearing the point of ridiculous. #justsayin #stillwaiting,"@240757 Hi, Justin. Our apologies for the lengthy wait. To reset your password, please refer to the link provided and enter your SkyMiles account number. https://t.co/lVcNfZGAPl *AFN","Hi, Justin. Our apologies for the lengthy wait. To reset your password, please refer to the link provided and enter your SkyMiles account number. *AFN",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2271159,keyword_bucket:ACCOUNT_LOYALTY,@Delta I purchased my husbands ticket ($1500)vs using miles to pull him along with my upgrade &amp; now I could lose it bc the process is poor.,I purchased my husbands ticket ($1500)vs using miles to pull him along with my upgrade &amp; now I could lose it bc the process is poor.,"@660792 Hmm, that's interesting. Please DM your confirmation number as this is the only way I am able to see what's going on. Thanks. *ATJ","Hmm, that's interesting. Please DM your confirmation number as this is the only way I am able to see what's going on. Thanks. *ATJ",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
265060,keyword_bucket:ACCOUNT_LOYALTY,@delta how long does it take for miles to show up? i flew back a week ago still dont see miles,how long does it take for miles to show up? i flew back a week ago still dont see miles,@179146 Please allow up to 7 business days. *TDL,Please allow up to 7 business days. *TDL,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
259508,keyword_bucket:ACCOUNT_LOYALTY,Well said @143228. It took @Delta  a long time to earn my loyalty. Wall St wont like Ed Bastian so much when he loses our loyalty https://t.co/qQuyp13X9i,Well said . It took a long time to earn my loyalty. Wall St wont like Ed Bastian so much when he loses our loyalty,"@177714 ...either $15,000 MQDs or reach the $250,000 Diamond MQD Waiver, in addition to either 125,000 MQMs or 140 MQSs. *HJH 2/2","...either $15,000 MQDs or reach the $250,000 Diamond MQD Waiver, in addition to either 125,000 MQMs or 140 MQSs. *HJH 2/2",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
568992,keyword_bucket:ACCOUNT_LOYALTY,"@Delta I don’t know why we get Medallion Upgrades... You can’t ever use them! My loyalty isn’t returned... 10,000 miles this week and next no upgrade!","I don’t know why we get Medallion Upgrades... You can’t ever use them! My loyalty isn’t returned... 10,000 miles this week and next no upgrade!",@253509 Hi Jay. I am so sorry you haven't been upgraded lately. I'm sure you will be upgraded when you least expect it. Fingers crossed! 😊 *TKR,Hi Jay. I am so sorry you haven't been upgraded lately. I'm sure you will be upgraded when you least expect it. Fingers crossed! 😊 *TKR,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1206427,keyword_bucket:ACCOUNT_LOYALTY,@delta need help resetting my sky miles password.,need help resetting my sky miles password.,"@403311 Hello, Deanna! I will be glad to assist. Please DM your Sky Miles account # and your DOB. *TCC","Hello, Deanna! I will be glad to assist. Please DM your Sky Miles account # and your DOB. *TCC",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
953331,keyword_bucket:ACCOUNT_LOYALTY,@AskAmex Any idea why I haven't earned my 2018 MQD Waiver on my @Delta Platinum Skymiles card despite reaching the spend for 2017?,Any idea why I haven't earned my 2018 MQD Waiver on my Platinum Skymiles card despite reaching the spend for 2017?,"@346195 Hi Chris, thanks for contacting us.  I'll be happy to look into this for you.  One moment please.  *HML","Hi Chris, thanks for contacting us. I'll be happy to look into this for you. One moment please. *HML",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2643167,keyword_bucket:ACCOUNT_LOYALTY,"@Delta is it normal when buying Miles + Cash to have 100% miles taken? Cash was converted to miles, not $$.","is it normal when buying Miles + Cash to have 100% miles taken? Cash was converted to miles, not $$.",@745819 I'm showing that you did the one where you paid a portion of cash to be used as miles. *TBW,I'm showing that you did the one where you paid a portion of cash to be used as miles. *TBW,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
223259,keyword_bucket:ACCOUNT_LOYALTY,Yay. Got to @Delta diamond medallion status for next year already 🖤✈️ https://t.co/vM5Woxk7Tf,Yay. Got to diamond medallion status for next year already 🖤✈️,@125018 Congrats! Pleasure to have you with us!  *HVI,Congrats! Pleasure to have you with us! *HVI,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
2888963,keyword_bucket:ACCOUNT_LOYALTY,@Delta when does medallion status update? I’ve flown the miles for my first status but it doesn’t reflect it in my delta app.,when does medallion status update? I’ve flown the miles for my first status but it doesn’t reflect it in my delta app.,@524195 Medallion Status typically changes 24 hours after the qualifiers are met. *ASK,Medallion Status typically changes 24 hours after the qualifiers are met. *ASK,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
1103837,keyword_bucket:ACCOUNT_LOYALTY,Hey @Delta can I move miles over to @35497 or is it just a 1-way street; hotel points to miles?,Hey can I move miles over to or is it just a 1-way street; hotel points to miles?,@380483 Hi Ken. Please allow me a few minutes to review. *TKR,Hi Ken. Please allow me a few minutes to review. *TKR,ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
459167,keyword_bucket:POLICY_QUESTION,@Delta how can I redeem my companion certificate or make sure that I am eligible for one?,how can I redeem my companion certificate or make sure that I am eligible for one?,"@224059 Caleb, please DM your SkyMiles number so I can look into this for you. *TSB","Caleb, please DM your SkyMiles number so I can look into this for you. *TSB",ACCOUNT_LOYALTY,FALSE,FALSE,none_auto_handle,"should reference actual miles/status mechanics, not generic thanks",
